id,longitude,latitude,precision,funding,donor,status,type_of_assistance,amp_sector
94,35.573667,-14.945831,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
95,35.346577,-14.392955,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
96,33.805243,-10.802922,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
97,33.607776,-11.854277,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
98,34.082977,-12.804172,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
99,33.607776,-11.854277,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
100,33.0799839,-13.762298,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
101,33.907981,-13.295737,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
102,34.75,-14.75,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
103,35.418291,-15.430074,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
104,35.499904,-15.934395,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
105,35.6666667,-15.6666667,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
106,35.150601,-16.105828,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
107,34.053218,-11.65304,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
108,34.401842,-13.719594,3,2170170.29,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
109,35.197578,-15.887555,1,118408.59,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
110,33.4166667,-13,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
111,34.082977,-12.804172,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
112,34.02071,-11.465557,1,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
113,33.783333,-13.983333,1,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
114,35.013868,-15.786823,1,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
115,35.516667,-14.966667,1,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
116,35.41829,-15.43007,3,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
117,35.1506,-16.10583,3,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
118,33.60778,-11.85428,3,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
119,34.8,-15,1,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
120,35.32171,-15.25988,1,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
121,33.0799839,-13.762298,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
122,35.25,-16.783333,5,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
123,34.583333,-15.15,5,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
124,34.75,-14.75,3,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
125,35.182766,-15.400026,1,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
126,33.7,-11.516667,1,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
127,33.583333,-12.6,1,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
128,35.150601,-16.105828,3,5316983.36,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
129,33.68407,-14.019624,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
130,35.573667,-14.945831,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
131,35.346577,-14.392955,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
132,35.059102,-15.048394,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
133,33.881507,-10.111532,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
134,33.805243,-10.802922,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
135,33.907981,-13.295737,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
136,34.75,-14.75,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
137,35.418291,-15.430074,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
138,35.499904,-15.934395,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
139,35.6666667,-15.6666667,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
140,35.150601,-16.105828,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
141,34.053218,-11.65304,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
142,33.823778,-13.600977,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
143,34.401842,-13.719594,3,2638695.43,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
144,35.346577,-14.392955,3,3998023.38,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
145,35.059102,-15.048394,3,3998023.38,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
146,35.573667,-14.945831,3,3998023.38,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
147,35.418291,-15.430074,3,222000.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
148,35.346577,-14.392955,3,222000.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
149,35.059102,-15.048394,3,222000.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
150,35.666667,-15.666667,3,222000.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
151,35.418291,-15.430074,3,180840.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
152,35.346577,-14.392955,3,180840.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
153,35.059102,-15.048394,3,180840.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
154,35.6666667,-15.6666667,3,180840.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
155,35.166667,-16.75,3,1959770.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
156,35.150601,-16.105828,3,1959770.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
157,34.75,-16.166667,3,1959770.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
158,35.573667,-14.945831,3,230070.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
159,33.68407,-14.019624,3,230070.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
160,33.4166667,-13,3,230070.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
161,35.573667,-14.945831,3,230070.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
162,33.68407,-14.019624,3,230070.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
163,33.416667,-13,3,230070.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
164,35.6666667,-15.6666667,3,7963166.74,International Fund for Agricultural Development (IFAD),Ongoing,Loan,Agriculture
165,34.75,-16.1666667,3,7963166.74,International Fund for Agricultural Development (IFAD),Ongoing,Loan,Agriculture
166,35.1666667,-16.75,3,7963166.74,International Fund for Agricultural Development (IFAD),Ongoing,Loan,Agriculture
167,33.4166667,-13,3,322000.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
168,33.907981,-13.295737,3,322000.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
169,33.823778,-13.600977,3,322000.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
170,33.907981,-13.295737,3,322000.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
171,33.416667,-13,3,322000.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
172,33.823778,-13.600977,3,322000.00,Food and Agriculture Organization (FAO),Closed,Grant,Agriculture
173,34.401842,-13.719594,3,750000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
174,34.082977,-12.804172,3,750000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
175,33.68407,-14.019624,3,750000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
176,35.499904,-15.934395,3,,World Bank,Ongoing,Grant,Agriculture
177,35.150601,-16.105828,3,,World Bank,Ongoing,Grant,Agriculture
178,34.3,-11.6,1,,Japan,Ongoing,Grant,Agriculture
179,33.0799839,-13.762298,3,349387.00,US Agency for International Development,Ongoing,Grant,Agriculture
180,33.607776,-11.854277,3,198000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
181,35.346577,-14.392955,3,198000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
182,35.573667,-14.945831,3,198000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
183,33.416667,-13,3,198000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
184,35.059102,-15.048394,3,198000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
185,34.166667,-11.4,1,,Japan,Ongoing,Grant,Agriculture
186,35.346577,-14.392955,3,,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
187,34.928887,-16.246739,1,139400.07,European Union (EU),Ongoing,Grant,Agriculture
188,34.15,-12.566667,1,139400.07,European Union (EU),Ongoing,Grant,Agriculture
189,34.75,-16.1666667,3,139400.07,European Union (EU),Ongoing,Grant,Agriculture
190,34.401842,-13.719594,3,,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
191,33.607776,-11.854277,3,517000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
192,35.346577,-14.392955,3,517000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
193,35.573667,-14.945831,3,517000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
194,35.059102,-15.048394,3,517000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
195,34.45,-13.733333,2,,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
196,33.607776,-11.854277,3,294722.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
197,35.346577,-14.392955,3,294722.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
198,34.316667,-13.6,2,,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
199,34.14902,-11.87429,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
200,35.0448,-13.70878,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
201,34.401842,-13.719594,3,1822943.05,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
202,34.61667,-13.71667,2,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
203,33.783333,-13.983333,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
204,34.02070999,-11.46555674,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
205,35.266667,-14.466667,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
206,34.16634,-12.62101,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
207,34.383333,-13.533333,2,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
208,34.816667,-14.216667,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
209,35.418291,-15.430074,3,1822943.05,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
210,34.082977,-12.804172,3,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
211,35.318801,-15.385957,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
212,34.316667,-13,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
213,34.401842,-13.719594,3,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
214,34.3,-12.916667,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
215,34.053218,-11.65304,3,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
216,33.805243,-10.802922,3,1822943.05,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
217,35.346577,-14.392955,3,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
218,34.516667,-13.983333,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
219,34.183333,-12.533333,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
220,35.013868,-15.786823,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
221,34.04792,-12.09267,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
222,34.05,-12.333333,1,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
223,33.823778,-13.600977,3,8552813.94,African Development Bank (AfDB),Closed,Loan,Agriculture
224,33.907981,-13.295737,3,1822943.05,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
225,33.907981,-13.295737,3,8552813.94,African Development Bank (AfDB),Closed,Loan,Agriculture
226,33.805243,-10.802922,3,8552813.94,African Development Bank (AfDB),Closed,Loan,Agriculture
227,34.05,-11.016667,1,8552813.94,African Development Bank (AfDB),Closed,Loan,Agriculture
228,34.166667,-11.4,1,8552813.94,African Development Bank (AfDB),Closed,Loan,Agriculture
229,34,-11.616667,2,8552813.94,African Development Bank (AfDB),Closed,Loan,Agriculture
230,33.883333,-13.383333,1,8552813.94,African Development Bank (AfDB),Closed,Loan,Agriculture
231,33.966667,-13.483333,1,8552813.94,African Development Bank (AfDB),Closed,Loan,Agriculture
232,33.96,-13.582,1,8552813.94,African Development Bank (AfDB),Closed,Loan,Agriculture
233,33.933333,-13.65,1,509294.63,Irish Aid,Ongoing,Grant,Agriculture
234,34.05,-10.75,1,8552813.94,African Development Bank (AfDB),Closed,Loan,Agriculture
235,34.053218,-11.65304,3,8552813.94,African Development Bank (AfDB),Closed,Loan,Agriculture
236,34.3,-12.916667,1,509294.63,Irish Aid,Ongoing,Grant,Agriculture
237,35.573667,-14.945831,3,294722.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
238,33.68407,-14.019624,3,198198.37,Irish Aid,Ongoing,Grant,Agriculture
239,34.75,-16.166667,3,198198.37,Irish Aid,Ongoing,Grant,Agriculture
240,35.059102,-15.048394,3,198198.37,Irish Aid,Ongoing,Grant,Agriculture
241,34.082977,-12.804172,3,198198.37,Irish Aid,Ongoing,Grant,Agriculture
242,33.805243,-10.802922,3,198198.37,Irish Aid,Ongoing,Grant,Agriculture
243,34.75,-16.166667,3,435643.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
244,34.15,-12.566667,2,11768581.98,African Development Bank (AfDB),Closed,Loan,Agriculture
245,34.166667,-12.616667,1,11768581.98,African Development Bank (AfDB),Closed,Loan,Agriculture
246,34.033333,-12.3,1,11768581.98,African Development Bank (AfDB),Closed,Loan,Agriculture
247,34.216667,-12.733333,1,11768581.98,African Development Bank (AfDB),Closed,Loan,Agriculture
248,33.416667,-13,3,294722.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
249,35.059102,-15.048394,3,294722.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
250,35.346577,-14.392955,3,360172.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
251,35.573667,-14.945831,3,360172.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
252,35.166667,-16.75,3,435643.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
253,34.333333,-14.366667,1,509294.63,Irish Aid,Ongoing,Grant,Agriculture
254,34.401842,-13.719594,3,435643.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
255,35.150601,-16.105828,3,28298214.16,European Union (EU),Ongoing,Grant,Agriculture
256,35.059102,-15.048394,3,28298214.16,European Union (EU),Ongoing,Grant,Agriculture
257,33.823778,-13.600977,3,28298214.16,European Union (EU),Ongoing,Grant,Agriculture
258,34.082977,-12.804172,3,28298214.16,European Union (EU),Ongoing,Grant,Agriculture
259,35.215762,-15.752677,3,28298214.16,European Union (EU),Ongoing,Grant,Agriculture
260,33.881507,-10.111532,3,1822943.05,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
261,34.401842,-13.719594,3,28298214.16,European Union (EU),Ongoing,Grant,Agriculture
262,33.68407,-14.019624,3,28298214.16,European Union (EU),Ongoing,Grant,Agriculture
263,33.805243,-10.802922,3,28298214.16,European Union (EU),Ongoing,Grant,Agriculture
264,33.607776,-11.854277,3,28298214.16,European Union (EU),Ongoing,Grant,Agriculture
265,33.881507,-10.111532,3,28298214.16,European Union (EU),Ongoing,Grant,Agriculture
266,33.425412,-9.927265,3,28298214.16,European Union (EU),Ongoing,Grant,Agriculture
267,34.053218,-11.65304,3,1822943.05,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
268,33.416667,-13,3,360172.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
269,35.059102,-15.048394,3,360172.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
270,34.75,-14.75,3,500000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
271,33.079984,-13.762298,3,500000.00,Food and Agriculture Organization (FAO),Ongoing,Grant,Agriculture
272,33.823778,-13.600977,3,1822943.05,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
